ID,date,Country,Region,District,Latitude,Longitude,Species,Sequencing_date
SD766,01/09/2020,NTz,Mara,Musoma Urban,-1.544621,33.844015,Domestic dog,14-Apr-21
SD767,28/09/2020,NTz,Mara,Musoma Urban,-1.544621,33.844015,Domestic Dog,14-Apr-21
SD806,26/10/2021,NTz,Mara,Butiama,-1.551249,33.955434,Domestic dog,14-Nov-21
SD810,03/11/2021,NTz,Mara,Tarime,-1.551249,33.955434,Goat,14-Nov-21
SD816,09/02/2022,NTz,Mara,Serengeti ,-1.685375,33.972315,Domestic Dog,23-Nov-22
SD821,29/03/2022,NTz,Mara,Serengeti ,-1.851277,34.013583,Domestic Dog,23-Nov-22
SD782,21/04/2021,NTz,Mara,Rorya,-1.151977,34.020507,Domestic Dog,21-Apr-21
SD832,16/03/2022,NTz,Mara,Serengeti ,-1.132846,34.04667,Domestic dog,23-Nov-22
SD834,03/07/2022,NTz,Mara,Rorya,-1.146756,34.051474,Domestic dog,23-Nov-22
Z00861874,30/08/2021,Kenya,Siaya,Bondo,-0.0593687,34.070337,Canine,06-Dec-21
Z0083226,24/09/2021,Kenya,Makueni,Kibwezi West,-0.022929853,34.12224665,Domestic dog,06-Dec-21
Z00861852,06/11/2021,Kenya,Siaya,Rarieda,-0.022929853,34.12224665,Domestic dog,08-Dec-21
Z00861835,05/02/2022,Kenya,Bondo,Yimbo East,-0.0597567,34.1457683,Domestic dog,14-Sep-22
Z00861836,31/01/2022,Kenya,Bondo,Yimbo East,-0.0511755,34.1472944,Domestic dog,14-Sep-22
Z00861815,01/05/2022,Kenya,Alego usonga,West Alego,0.07509,34.1514466,Domestic dog,14-Sep-22
Z00861854,28/10/2021,Kenya,Siaya,Bondo,-0.05166,34.15811,Canine,08-Dec-21
SD830,18/03/2022,NTz,Mara,Rorya,-1.189745,34.181964,Domestic dog,23-Nov-22
SD831,03/05/2022,NTz,Mara,Rorya,-1.189745,34.181964,Domestic dog,23-Nov-22
Z00861829,26/02/2022,Kenya,Bondo,Central Sakwa,-0.1389228,34.1935759,Domestic dog,14-Sep-22
Z00861834,10/02/2022,Kenya,Alego usonga,West Alego,0.0864564,34.1967015,Domestic dog,14-Sep-22
Z00861816,27/04/2022,Kenya,Alego usonga,Central Alego,0.0887153,34.1981338,Domestic dog,14-Sep-22
Z00861824,18/03/2022,Kenya,Bondo,Yimbo East,0.0876167,34.1993533,Domestic dog,14-Sep-22
2021153276,29/08/2022,Kenya,Bondo,South West Sakwa,-0.112238,34.201307,Human,14-Sep-22
Z00861843,09/12/2021,Kenya,Siaya,Yimbo East,-0.032877,34.204205,Domestic Dog,31-Jan-22
Z00861847,11/11/2021,Kenya,Siaya,Bondo,-0.1179414,34.2079476,Bovine,31-Jan-22
Z00861826,06/03/2022,Kenya,Bondo,West Sakwa,-0.0935193,34.2223259,Domestic dog,14-Sep-22
Z0083175,16/07/2019,Kenya,Siaya,Alego Usonga,0.08863336,34.22519061,Bovine,07-Aug-19
Z00861872,31/08/2021,Kenya ,Siaya,Alego Usonga,0.08863336,34.22519061,Bovine,06-Dec-21
Z00861870,05/09/2021,Kenya,Siaya,Alego Usonga,0.08863336,34.22519061,Domestic dog,06-Dec-21
Z00861858,15/10/2021,Kenya,Siaya,Alego Usonga,0.08863336,34.22519061,Bovine,08-Dec-21
Z00861831,17/02/2022,Kenya,Alego usonga,Central Alego,0.0935377,34.2324974,Bovine,14-Sep-22
Z0826361,03/10/2017,Kenya,Siaya,Bondo,-0.100337,34.275499,Ovine,07-Aug-19
Z081388851,07/08/2019,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,07-Aug-19
Z00861877,11/08/2021,Kenya,Siaya,Bondo,-0.100337,34.275499,Unknown,08-Dec-21
Z00861875,16/08/2021,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,06-Dec-21
Z00861867,05/09/2021,Kenya ,Siaya,Bondo,-0.100337,34.275499,Domestic dog,06-Dec-21
Z00861869,05/09/2021,Kenya ,Siaya,Bondo,-0.100337,34.275499,Domestic dog,06-Dec-21
Z00861865,11/09/2021,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,08-Dec-21
Z00861860,12/10/2021,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,08-Dec-21
Z00861855,26/10/2021,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,08-Dec-21
Z00861850,03/11/2021,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,08-Dec-21
Z00861851,03/11/2021,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,08-Dec-21
Z00861853,04/11/2021,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,08-Dec-21
Z0826447,11/11/2021,Kenya,Siaya,Bondo,-0.100337,34.275499,Bovine,31-Jan-22
Z00861838,14/01/2022,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,31-Jan-22
Z00861837,18/01/2022,Kenya,Siaya,Bondo,-0.100337,34.275499,Domestic dog,31-Jan-22
Z00861811,23/05/2022,Kenya,Alego usonga,Siaya Township,0.0514289,34.2779851,Domestic dog,14-Sep-22
Z00861810,25/05/2022,Kenya,Alego usonga,Siaya Township,0.0555359,34.2825282,Domestic dog,14-Sep-22
Z00861841,20/12/2021,Kenya,Siaya,South East Alego,-0.0594856,34.2839401,Domestic dog,31-Jan-22
Z00861842,20/12/2021,Kenya,Siaya,South East Alego,-0.0594856,34.2839401,Domestic dog,31-Jan-22
Z00861871,02/09/2021,Kenya,Siaya,Alego Usonga,-0.0606193,34.2859671,Bovine,08-Dec-21
Z00861862,01/10/2021,Kenya,Siaya,Alego Usonga,-0.0606193,34.2859671,Domestic Dog,08-Dec-21
Z00865570,21/07/2022,Kenya,Alego usonga,South East Alego,0.0109183,34.2870951,Domestic dog,14-Sep-22
Z00861839,17/12/2021,Kenya,Siaya,Siaya,-0.062629,34.287807,Domestic Dog,31-Jan-22
Z00861840,22/12/2021,Kenya,Siaya,Siaya,-0.062629,34.287807,Domestic Dog,31-Jan-22
Z00861823,20/03/2022,Kenya,Rarieda,West Uyoma,-0.2885262,34.305724,Domestic dog,14-Sep-22
Z00861832,13/02/2022,Kenya,Alego usonga,Siaya Township,0.0555358,34.3062222,Domestic dog,14-Sep-22
Z00861820,01/04/2022,Kenya,Rarieda,West Uyoma,-0.2553002,34.3097779,Domestic dog,14-Sep-22
Z08151377,18/08/2017,Kenya,Siaya,Rarieda,-0.358002251,34.32245196,Domestic dog,07-Aug-19
Z00861808,03/06/2022,Kenya,Ugunja,Ugunja,0.1992256,34.3392067,Domestic dog,14-Sep-22
Z00861807,09/06/2022,Kenya,Rarieda,North Uyoma,-0.2436026,34.3405267,Domestic dog,14-Sep-22
SD793,11/03/2021,NTz,Mara,Serengeti ,-1.79567,34.344089,Domestic Dog,21-Apr-21
SD716,18/05/2018,NTz,Mara,Serengeti ,-1.630177,34.3521,Domestic dog,14-Nov-21
Z00865561,28/06/2022,Kenya,Rarieda,West Asembo,-0.1394914,34.355399,Domestic dog,14-Sep-22
Z00865566,14/07/2022,Kenya,Rarieda,West Asembo,-0.1393568,34.3556882,Domestic dog,14-Sep-22
SD802,23/07/2021,NTz,Mara,Serengeti ,-1.742939,34.35651,Domestic dog,14-Nov-21
SD740,15/02/2019,NTz,Mara ,Serengeti ,-1.6332469,34.3571239,Domestic Dog,06-Sep-19
SD813,07/12/2021,NTz,Mara,Serengeti ,-1.724149,34.359319,Domestic Dog,10-Mar-22
Z00865564,13/07/2022,Kenya,Rarieda,West Asembo,-0.1400055,34.3601107,Domestic dog,14-Sep-22
Z00861809,28/05/2022,Kenya,Ugunja,Sigomre,0.2023327,34.3630015,Bovine,14-Sep-22
Z00865571,23/07/2022,Kenya,Rarieda,East Asembo,-0.0726057,34.3791578,Domestic dog,14-Sep-22
Z00865563,12/07/2022,Kenya,Rarieda,East Asembo,-0.1825339,34.3808759,Domestic dog,14-Sep-22
Z00861827,03/03/2022,Kenya,Rarieda,East Asembo,-0.081198,34.3879835,Domestic dog,14-Sep-22
SD809,30/10/2021,NTz,Mara,Tarime,-1.21343,34.389903,Domestic dog,14-Nov-21
SD789,16/12/2020,NTz,Mara,Serengeti ,-1.594604,34.400336,Domestic Dog,21-Apr-21
