ID,species,country,Village,Location,Sub.County,date,latitude,longitude,year,lineage
MAL1020,Domestic Dog,Tanzania,NA,Malinyi,Mtwara,17/04/2022,-9.053893,36.614229,2022,Cosmopolitan AF1b_A1
MAL1009,Domestic dog,Tanzania,NA,Malinyi,Morogoro ,09/05/2022,-9.063893,36.624229,2022,Cosmopolitan AF1b_A1
MAL1008,Domestic Dog,Tanzania,NA,Malinyi,Morogoro ,23/07/2022,-9.073893,36.634229,2022,Cosmopolitan AF1b_A1
MR008,Goat,Tanzania,NA,Ulanga,Morogoro ,13/11/2018,-8.90886,36.0876,2018,Cosmopolitan AF1b_A1
MR009,Domestic Dog,Tanzania,NA,Ulanga,Morogoro ,09/02/2019,-8.89886,36.0976,2019,Cosmopolitan AF1b_A1
RB003,Bovine,Tanzania,NA,Ulanga,Morogoro/Kennedy,01/09/2019,-8.88886,36.1076,2019,Cosmopolitan AF1b_A1
RB002,Domestic dog,Tanzania,NA,Ulanga,Morogoro/Kennedy,01/09/2019,-8.87886,36.1176,2019,Cosmopolitan AF1b_A1
MR005,Domestic dog,Tanzania,NA,Ulanga,Morogoro ,13/02/2020,-8.88886,36.1276,2020,Cosmopolitan AF1b_A1
MR001,Domestic dog,Tanzania,NA,Ulanga,Morogoro ,31/03/2020,-8.89886,36.1376,2020,Cosmopolitan AF1b_A1
MR006,Domestic dog,Tanzania,NA,Ulanga,Morogoro ,08/05/2020,-8.90886,36.1476,2020,Cosmopolitan AF1b_A1
KR906763,Livestock: Pig,Tanzania,NA,NA,Ulanga,17/05/2010,-8.68177,36.716557,2010,Cosmopolitan AF1b_A1
KD1004,Domestic Dog,Tanzania,NA,Kilombero,Morogoro ,11/02/2022,-8.400762,36.559167,2022,Cosmopolitan AF1b_A1
IFA1023,Domestic Dog,Tanzania,NA,Ifakara,Morogoro ,23/07/2022,-8.410762,36.569167,2022,Cosmopolitan AF1b_A1
KIL1022,Domestic Dog,Tanzania,NA,Kilombero,Morogoro ,10/08/2022,-8.400762,36.579167,2022,Cosmopolitan AF1b_A1
IFA1013,Domestic Dog,Tanzania,NA,Ifakara,Morogoro ,08/09/2022,-8.410762,36.589167,2022,Cosmopolitan AF1b_A1
KR906764,Livestock: Cow,Tanzania,NA,NA,Kilombero,27/09/2010,-8.076282887,37.01688779,2010,Cosmopolitan AF1b_A1
KR906765,Livestock: Cow,Tanzania,NA,NA,Kilombero,28/09/2010,-8.086282887,37.02688779,2010,Cosmopolitan AF1b_A1
KR906766,Domestic dog,Tanzania,NA,NA,Chake Chake,26/11/2010,-5.260469,39.815016,2010,Cosmopolitan AF1b_A1
MN726813,Domestic dog,Tanzania,NA,NA,Micheweni,16/05/2017,-5.009501,39.814855,2017,Cosmopolitan AF1b_A1
RB004,Domestic Dog,Tanzania,NA,Arusha urban,Arusha,14/04/2021,-3.386925,36.682995,2021,Cosmopolitan AF1b_A1.1
